family_node_id	family_label	role_heads	authority_levels	venue	channel	product	population	task	industry	knowledge_domain	work_object	residual_policy
14721	Mathematicians Actuaries And Statisticians	biometrician|consultant|demographer|developer|engineer|mathematician|statistician	none	office				gambling_task|quality_assurance	actuarial	mathematics|science|statistics		specific
14723	Life Science Professionals	adviser|agronomist|analyst|behaviourist|biochemist|biologist|biophysicist|biotechnologist|botanist|consultant|coordinator|curator|ecologist|epidemiologist|geneticist|immunologist|manager|microbiologist|nutritionist|officer|pharmacologist|physiologist|scientist|specialist|technician|toxicologist	none	airport|farm|laboratory|site			animal|animals|livestock	conservation_task|environment_task|horticulture_task|monitoring_task|nature_task|pollution_task|programme|project|quality|recirculation_task|research	agricultural|agriculture|aquaculture|aviation|botanical_industry|environmental|fisheries|forestry|marine|natural_industry	air_knowledge_domain|biology|resource_knowledge_domain|resources_knowledge_domain|science|water_knowledge_domain	bioinformatics_work_object|countryside_work_object|groundwater_work_object	specific
14727	Engineering Professionals Excluding Electrotechnology	architect|assayer|bioengineer|brewmaster|consultant|designer|engineer|expert|manager|master|metallurgist|nanoengineer|oenologist|planner|researcher|specialist|surveyor|technologist	none	airport|mine|office|plant|railway|site	distribution			automation_task|calculation_task|clothing_task|commissioning_task|conditioning_task|design|development|dismantling_task|drilling_task|driving|heating_task|homologation_task|innovation_task|installation|maintenance|manufacturing|packaging_task|packing_task|planning|precision_task|prevention_task|process|processing|production|project|protection|quality|recycling_task|repair|research|rotating_task|safety|test|tooling_task|treatment|ventilation_task|welding	acoustical|agricultural|alternative_industry|automotive|aviation|biochemical_industry|biomedical|chemical|civil|construction|energy|environmental|geological_industry|geotechnical_industry|geothermal_industry|health|industrial|logistics|marine|mechanical|mechatronics|mineral_industry|mining|naval_industry|nuclear|optical_industry|optomechanical_industry|pharmaceutical|renewable|road|solar|synthetic|thermal_industry|transport	aerodynamics|aerospace|autonomou_knowledge_domain|compliance|engineering|footwear_knowledge_domain|technology|textile_leather_knowledge_domain	air_work_object|application_work_object|component_work_object|container_work_object|contract_work_object|dependability_work_object|drainage_work_object|engine_work_object|equipment_work_object|fire_work_object|fluid_power_work_object|food_work_object|fuel_work_object|gas_work_object|ground_work_object|hydropower_work_object|leather_good_work_object|liquid_fuel_work_object|machinery_work_object|materials_work_object|offshore_work_object|onshore_wind_work_object|paper_work_object|patent_work_object|petroleum_work_object|photonics_work_object|pipeline_work_object|powertrain_work_object|quantity_work_object|quarry_work_object|rail_work_object|robotics_work_object|steam_work_object|surface_work_object|systems_work_object|tool_work_object|waste_work_object|wastewater_work_object|water_based_work_object|wood_work_object	specific
14735	Electrotechnology Engineers	analyst|designer|engineer|expert	none	home|laboratory|mine|office|plant	distribution			design|generation_task|instrumentation_task|maintenance|manufacturing|simulation_task|substation_task|test	electric_industry|electrical|electromagnetic_industry|electromechanical_industry|electronic|medical|optoelectronic_industry|predictive_industry	electronics|language|microelectronics|telecommunications	battery_work_object|circuit_work_object|computer_work_object|device_work_object|flight_work_object|hardware_work_object|integrated_work_object|materials_work_object|microsystem_work_object|power_work_object|satellite_work_object|sensor_work_object|smart_work_object|system_work_object	specific
14739	Architects Planners Surveyors And Designers	animator|architect|artist|cartographer|colourist|consultant|designer|developer|illustrator|maker|manager|model|modeller|planner|publisher|specialist|surveyor|technician	none	mine|office|site|studio			special_population	animation_task|clothing_task|design|gambling_task|layout|lighting_task|mobility_task|performance|services|stop_motion_task	automotive|cadastral_industry|digital|fashion|graphic_industry|hydrographic_industry|industrial|interior|road|transport	3d_knowledge_domain|data_knowledge_domain|effect_knowledge_domain|media_knowledge_domain|motion_knowledge_domain|smart_city_knowledge_domain|stop_knowledge_domain|video_knowledge_domain	land_work_object|landscape_work_object|leather_good_product_work_object|textile_product_work_object|urban_work_object	specific
14747	Medical Doctors	doctor|general|practitioner|specialist	none	clinic|hospital			patient		healthcare|specialised	medicine		specific
14750	Nursing And Midwifery Professionals	assistant|general|midwife|nurse|practitioner|specialist	none	clinic|hospital			infant|patient	care|support	advanced_industry|healthcare|medical	nursing		specific
14753	Traditional And Complementary Medicine Professionals	acupuncturist|aromatherapist|homeopath|therapist	none	clinic			patient	care	complementary_industry	medicine|traditional_chinese_medicine_knowledge_domain		specific
14757	Veterinarians	chiropractor|general|hydrotherapist|official|osteopath|physiotherapist|professional|scientist|therapist|veterinarian	none	clinic|facility|farm			animal	care	aquatic_industry|health|specialised|veterinary	medicine	massage_work_object	specific
14759	Other Health Professionals	assistant|audiologist|chiropractor|coordinator|cytotechnologist|dentist|dietitian|ergonomist|examiner|expert|hygienist|kinesiologist|nutritionist|officer|optometrist|orthoptist|osteopath|pharmacist|physiotherapist|podiatrist|practitioner|professional|psychologist|psychotherapist|radiographer|scientist|specialist|technician|therapist	none	clinic|hospital|laboratory|office			animal|patient	protection|quality|radiation_task|response|safety	advanced_industry|anatomical|biomedical|clinical|dental_industry|diagnostic_industry|educational|emergency_industry|health|industrial|medical|nuclear|occupational|pharmaceutical|prepared_industry|recreational_industry	art|food_knowledge_domain|language|medicine|music|pathology_knowledge_domain|physics|science|speech	assisted_work_object|orthotics_work_object|pharmacy_work_object|podiatry_work_object	residual_when_no_specific_family
14769	University And Higher Education Teachers	assistant|educator|instructor|lecturer|specialist|teacher	none	school|theatre|university			student	education_task|journalism|performing_task|research|teaching|work	academic|educational|healthcare|practice_industry|social|veterinary	anthropology_knowledge_domain|archaeology_knowledge_domain|architecture_knowledge_domain|art|arts|biology|business|chemistry|classical|communications|computer_knowledge_domain|dance_knowledge_domain|dentistry_knowledge_domain|earth_knowledge_domain|economics|engineering|fine_knowledge_domain|food_knowledge_domain|higher_knowledge_domain|history|languages|law|linguistics_knowledge_domain|literature_knowledge_domain|mathematics|medicine|modern_knowledge_domain|music|nursing|pharmacy_knowledge_domain|philosophy|physics|politics_knowledge_domain|psychology|science|sociology_knowledge_domain|space_knowledge_domain|studies		specific
