concept_id,alias,priority
chimney_sweep_work_object,chimney sweep,100
china_knowledge_domain,china,90
china_product,china,100
chinese_knowledge_domain,chinese,100
chinese_knowledge_domain,chineză,94
chipper_work_object,chipper,100
chocolate_product,chocolate,100
chocolate_work_object,chocolate,90
choirmaster_choirmistress_work_object,choirmaster choirmistress,100
church,church,100
cider_work_object,cider,100
cigar_brander_work_object,cigar brander,100
cigar_work_object,cigar,100
cigarette_work_object,cigarette,100
circu_knowledge_domain,circu,100
circuit_product,circuit,96
circuit_product,chip,94
circuit_product,circuite,94
circuit_product,microelectronica,94
circuit_product,vooluring,94
circuit_work_object,circuit,100
circuit_work_object,chip,94
circuit_work_object,circuite,94
circuit_work_object,microelectronica,94
circuit_work_object,vooluring,94
circuits_product,circuits,90
circuits_work_object,circuits,100
city_councillor_work_object,city councillor,100
civil,civil,100
claim_industry,claim,100
claim_industry,cerere de despăgubire,94
classical,classical,100
clay_kiln_burner_work_object,clay kiln burner,100
clay_kiln_burner_work_object,arzător de cuptor pentru argilă,94
clay_product_dry_kiln_work_object,clay product dry kiln,100
clay_product_dry_kiln_work_object,cuptor de uscare pentru produse din argilă,94
cleaning,cleaning,100
cleaning,curățare,94
client_task,client,100
client_task,clienti,94
clinic,clinic,100
clinic,cabinete,94
clinic,kliinik,94
clinic,klinik,94
clinic,rendelo,94
clinical,clinical,100
cloak_work_object,cloak,100
clock_work_object,clock,100
clothing_product,clothing,100
clothing_product,garment,94
clothing_product,moda,94
clothing_product,roivastus,94
clothing_product,ruhazati,94
clothing_product,vestimentatie,94
cloud_devop_work_object,cloud devop,100
cloud_devop_work_object,DevOps cloud,94
cloud_identity_work_object,cloud identity,100
cloud_work_object,cloud,100
cloud_work_object,aws cloud,96
cloud_work_object,cloud platform,95
cloud_work_object,azure cloud,94
cloud_work_object,cloud automation,92
cloud_work_object,cloud computing,90
cloud_work_object,cloud infrastructure,90
cloud_work_object,cloud deployment,88
cloud_work_object,cloud devops,86
cloud_work_object,cloud system,85
cloud_work_object,cloud identity,84
cloud_work_object,cloud monitoring,82
cloud_work_object,cloud native,82
cloud_work_object,cloud services,82
cloud_work_object,devops,82
cloud_work_object,hybrid cloud,82
cloud_work_object,infrastructure devops,82
cloud_work_object,openshift devops,82
cloud_work_object,site reliability,82
cloud_work_object,sre,82
cloud_work_object,aws devops,80
cloud_work_object,cloud devops solution,80
cloud_work_object,cloud identity access,80
cloud_work_object,cloud identity risk,80
cloud_work_object,cloud infrastructure devops,80
cloud_work_object,cloud service,80
cloud_work_object,cloud site reliability,80
cloud_work_object,devops architect development operations,80
cloud_work_object,devops developer development operations,80
cloud_work_object,devops engineer development operations,80
cloud_work_object,devops solution,80
cloud_work_object,reliability devops,80
cloud_work_object,site reliability devops,80
club,club,100
co_work_object,co,100
coastguard_watch_work_object,coastguard watch,100
coastguard_watch_work_object,serviciu de supraveghere al gărzii de coastă,94
cocktail_bartender_work_object,cocktail bartender,100
cocoa_product,cocoa,100
cocoa_work_object,cocoa,100
code_industry,code,100
code_industry,cod,94
coffee_grinder_work_object,coffee grinder,100
coffee_industry,coffee,100
coffee_product,coffee,100
coffee_taster_work_object,coffee taster,100
coffee_tea_cocoa_knowledge_domain,coffee tea cocoa,90
coffee_tea_cocoa_product,coffee tea cocoa,100
colonel_work_object,colonel,100
colour_work_object,colour,100
commercial,commercial,100
commodity_product,commodity,100
common_carrier_task,common carrier,100
common_carrier_task,transportator public,94
communications,communications,100
communications,communication,94
communications,comunicare,94
communications,limba,94
communications,limbi,94
